section,course_code,units,division,requirement_status,requirement_bucket,satisfies_pools,requires_cse101,can_satisfy_capstone,can_satisfy_dc,is_mandatory_for_major,notes,prerequisites,corequisites,requirements_raw
Electives — Explicit Allowed List (E4),MATH 117,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 21 or AM 10 and either MATH 100 or CSE 101 ,,Prerequisite(s): MATH 21 or AM 10 and either MATH 100 or CSE 101 .
Electives — Explicit Allowed List (E4),MATH 118,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 110 or MATH 111A,,Prerequisite(s): MATH 110 or MATH 111A
Electives — Explicit Allowed List (E4),MATH 134,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 100 or CSE 101 ; MATH 110 is recommended as preparation,,Prerequisite(s): MATH 100 or CSE 101 ; MATH 110 is recommended as preparation.
Electives — Explicit Allowed List (E4),MATH 140,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 100 or CSE 101 ,,Prerequisite(s): MATH 100 or CSE 101 .
Electives — Explicit Allowed List (E4),MATH 145,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 22 or MATH 23A ; MATH 21 or AM 10 ; MATH 100 or CSE 101 . Concurrent enrollment in MATH 145L is required,,Prerequisite(s): MATH 22 or MATH 23A ; MATH 21 or AM 10 ; MATH 100 or CSE 101 . Concurrent enrollment in MATH 145L is required.
Electives — Explicit Allowed List (E4),MATH 145L,1,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,Concurrent enrollment in MATH 145 is required,,Concurrent enrollment in MATH 145 is required.
Electives — Explicit Allowed List (E4),MATH 148,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 22 or MATH 23A ; and MATH 21 or AM 10 ; and MATH 24 or AM 20 ; and MATH 103A or MATH 105A or MATH 152 or AM 147 or CSE 101 . Concurrent enrollment in MATH 148L is required,,Prerequisite(s): MATH 22 or MATH 23A ; and MATH 21 or AM 10 ; and MATH 24 or AM 20 ; and MATH 103A or MATH 105A or MATH 152 or AM 147 or CSE 101 . Concurrent enrollment in MATH 148L is required.
Electives — Explicit Allowed List (E4),MATH 160,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 100 or CSE 101 ,,Prerequisite(s): MATH 100 or CSE 101 .
Electives — Explicit Allowed List (E4),MATH 161,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,"MATH 100 or equivalent, or by permission of instructor",,"Prerequisite(s): MATH 100 or equivalent, or by permission of instructor."
Electives — Explicit Allowed List (E4),MUSC 123A,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MUSC 80C or MUSC 30A placement,,Prerequisite(s): MUSC 80C or MUSC 30A placement
Electives — Explicit Allowed List (E4),MUSC 123B,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MUSC 123,,Prerequisite(s): MUSC 123.
Electives — Explicit Allowed List (E4),MUSC 123C,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MUSC 124,,Prerequisite(s): MUSC 124.
Electives — Explicit Allowed List (E4),OCEA 172,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,PHYS 107 or AM 107 ; MATH 22 or MATH 23B recommended. Credits 5,,Prerequisite(s): PHYS 107 or AM 107 ; MATH 22 or MATH 23B recommended. Credits 5 | Prerequisite(s): PHYS 107; MATH 22 or MATH 23B recommended.
Electives — Explicit Allowed List (E4),PHYS 115,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,"PHYS 102 and PHYS 105 ; and PHYS 116A or MATH 21 and MATH 24 ; and PHYS 116C or MATH 107 , or equivalent. Basic programming experience in Python or similar language",,"Prerequisite(s): PHYS 102 and PHYS 105 ; and PHYS 116A or MATH 21 and MATH 24 ; and PHYS 116C or MATH 107 , or equivalent. Basic programming experience in Python or similar language."
Electives — Explicit Allowed List (E4),PHYS 150,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,PHYS 116A or MATH 21 or AM 10 . Enrollment is restricted to juniors and seniors. Credits 5 | PHYS 116A or MATH 21 or AM 10. Enrollment is restricted to juniors and seniors,,PHYS 116A or MATH 21 or AM 10 . Enrollment is restricted to juniors and seniors. Credits 5 | PHYS 116A or MATH 21 or AM 10. Enrollment is restricted to juniors and seniors.
